time_stamp_millis,heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed
77320,91,98,97,3,32.1,235362,249347
77340,91,98,97,3,32.1,235362,249347
77360,91,98,97,3,33.1,235362,249347
77380,91,98,97,3,32.1,235362,249347
77400,91,98,97,3,32.1,235362,249347
77420,91,98,97,3,32.1,235362,249347
77440,91,98,97,3,33.1,235362,249347
77460,91,98,97,3,32.1,235362,249347
77480,91,98,97,3,32.1,235362,249347
77500,91,98,97,3,32.1,235362,249347
77520,91,98,97,3,32.1,235362,249347
77540,91,98,97,3,32.1,235362,249347
77560,91,98,97,3,32.1,235362,249347
77580,91,98,97,3,32.1,235362,249347
77600,91,98,97,3,32.1,235362,249347
77620,91,98,97,3,32.1,235362,249347
77640,91,98,97,3,33.1,235362,249347
77660,91,98,97,3,32.1,235362,249347
77680,91,98,97,3,32.1,235362,249347
77700,91,98,97,3,32.1,235362,249347
77720,91,98,97,3,33.1,235362,249347
77740,91,98,97,3,32.1,235362,249347
77760,91,98,97,3,32.1,235362,249347
77780,91,98,97,3,32.1,235362,249347
77800,0,0,97,3,32.1,235362,249347
77820,0,0,97,3,32.1,0,249347
77840,0,0,97,3,32.1,0,249347
77860,0,0,97,3,32.1,0,249347
77880,0,0,97,3,32.1,0,249347
77900,0,0,97,3,32.1,0,249347
77920,0,0,97,3,32.1,0,249347
77940,0,0,97,3,32.1,0,249347
77960,0,0,97,3,32.1,0,249347
77980,0,0,97,3,32.1,0,249347
78000,0,0,97,3,32.1,0,249347
78020,0,0,97,3,32.1,0,249347
78045,0,0,97,3,32.1,0,249347
78070,0,0,97,3,32.1,0,249347
78095,0,0,97,3,32.1,0,249347
78124,0,0,97,3,32.1,0,249347
78144,0,0,97,3,32.1,0,249347
78164,0,0,97,3,32.1,0,249347
78184,0,0,97,3,32.1,0,249347
78204,0,0,97,3,32.1,0,249347
78224,0,0,97,3,32.1,0,249347
78244,0,0,97,3,32.1,0,249347
78264,0,0,97,3,33.1,0,249347
78284,0,0,97,3,32.1,0,249347
78304,0,0,97,3,33.1,0,249347
78324,0,0,97,3,32.1,0,249347
78344,0,0,97,3,32.1,0,249347
78364,0,0,97,3,32.1,0,249347
78384,0,0,97,3,32.1,0,249347
78404,0,0,97,3,32.1,0,249347
78424,0,0,97,3,32.1,0,249347
78444,0,0,97,3,32.1,0,249347
78464,0,0,97,3,32.1,0,249347
78484,0,0,97,3,32.1,0,249347
78504,0,0,97,3,32.1,0,249347
78524,0,0,97,3,32.1,0,249347
78549,0,0,97,3,32.1,0,249347
78569,0,0,97,3,32.1,0,249347
78589,0,0,97,3,32.1,0,249347
78609,0,0,97,3,32.1,0,249347
78629,0,0,97,3,32.1,0,249347
78649,0,0,97,3,32.1,0,249347
