heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed,,
82,51,0,3,29.1,212275,3,,
82,51,0,3,29.1,212275,3,,
82,51,0,3,29.1,212275,3,,
82,51,0,3,29.1,212275,3,,
82,51,0,3,29.1,212275,3,,
82,51,0,3,29.1,212275,3,,
82,51,0,3,29.1,212275,3,,
71,99,0,3,29.1,182371,3,,
20,99,0,3,29.1,182371,3,,
71,99,0,3,29.1,182371,3,,
71,99,0,3,29.1,182371,3,,
71,99,0,3,29.1,182371,3,,
71,99,0,3,29.1,182371,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,182626,3,,
71,98,0,3,29.1,183138,3,,
71,98,0,3,29.1,183138,3,,
71,98,0,3,29.1,183138,3,,
71,97,0,3,29.1,183137,3,,
71,97,0,3,30.1,183137,3,,
20,97,0,3,29.1,183137,3,,
73,98,0,3,30.1,188770,3,,
73,98,0,3,30.1,188770,3,,
73,98,0,3,30.1,188770,3,,
73,98,0,3,30.1,188770,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,29.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,98,0,3,30.1,178786,3,,
69,99,0,3,30.1,176739,3,,
69,99,0,3,30.1,176739,3,,
69,99,0,3,30.1,176739,3,,
17,99,0,3,30.1,176739,3,,
69,99,0,3,30.1,176739,3,,
69,99,0,3,30.1,176739,3,,
70,99,0,3,30.1,179555,3,,
70,99,0,3,30.1,179555,3,,
70,99,0,3,30.1,179555,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
75,100,0,3,30.1,193892,3,,
24,99,0,3,30.1,193891,3,,
75,99,0,3,30.1,193891,3,,
75,99,0,3,30.1,193891,3,,
